PUMFID,VERDATE,EMP_10_A,EMP_10_B,EMP_10_C,EMP_10_D,EMP_10_E,EMP_10_F,EMP_10_G,EMP_10_H,EMP_10_I,CIN_05_A,CIN_05_B,CIN_05_C,CIN_05_D,CIN_05_E,CIN_05_F,CIN_05_G,CIN_05_H,CIN_05_I,CIN_05_J,CIN_05_K,CIN_10A,CIN_10B,CIN_10C,EXP_05A,EXP_05B,EXP_05C,EXP_05D,EXP_05E,EXP_05F,EXP_05G,EXP_05H,LTC_05_G,LTC_10,HL_05,HL_10,HL_15,HL_20,HL_25_A,HL_25_B,HL_25_C,HL_25_D,HL_25_E,HL_25_F,HL_25_G,HL_25_H,HL_25_I,HL_25_J,HL_25_K,HL_30,DIS_STAT,PRURURB,PCSIZMIZ,PPROV,PVISMIN,PDISTYP1,PDISTYP2,PDISTYP3,PDISTYP4,PDISTYP5,PDISTYP6,PAGEGR,PDEM_10,PED_05,PEMP_15B,PFACT2,PLTC_05A,PLTC_05B,PLTC_05C,PLTC_05D,PLTC_05E,PLTC_05F,PEDU_01,PHHARR,PIIDFLAG,PLFS_BEF,PLFS_CUR
1387,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,4,4,4,4,4,2,1,2,2,3,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,24,2,2,2,2,2,2,1,9,2,2,1,0.7916,2,2,2,2,2,1,2,3,2,1,1
1388,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,6,6,5,5,5,2,4,3,3,3,2,2,3,2,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,59,2,2,2,2,2,2,1,14,2,2,6,0.5083,2,2,2,2,2,1,2,3,2,2,2
1389,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,4,6,6,3,2,2,1,1,1,1,1,2,1,4,4,4,4,2,2,2,1,2,1,1,1,2,2,2,2,1,9,7,11,2,9,2,2,9,1,1,11,2,1,6,0.5614,9,2,2,9,1,1,2,2,2,3,3
1390,27/08/2020,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,4,5,3,1,1,2,3,1,2,1,5,5,5,5,2,2,2,1,2,1,2,2,2,1,2,1,1,2,6,12,2,2,2,2,1,1,2,8,2,1,6,0.2649,2,2,2,1,1,2,2,3,2,3,3
1391,27/08/2020,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,6,1,2,2,3,2,2,2,2,2,2,1,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,35,2,2,2,2,2,1,1,7,2,1,6,0.3921,2,2,2,2,1,1,2,1,2,1,1
1392,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,4,6,6,4,4,2,4,1,5,4,1,2,1,3,4,3,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,46,1,2,2,2,2,2,1,3,1,1,6,0.9317,2,2,2,2,2,1,2,2,2,3,3
1393,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,5,3,2,2,4,3,3,3,2,2,3,3,4,4,1,2,2,2,2,2,1,1,2,2,2,2,2,1,5,35,2,2,2,1,2,2,2,17,1,2,6,2.2754,2,2,1,2,2,2,2,2,2,3,3
1394,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,6,9,4,4,4,2,4,2,2,2,2,1,5,5,4,4,1,2,2,1,2,2,2,1,2,2,2,2,1,2,3,59,2,2,2,1,2,1,1,15,2,1,6,0.5554,2,2,1,2,1,1,2,2,2,3,3
1395,27/08/2020,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6,6,4,4,4,3,4,4,4,3,2,1,3,2,3,3,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,35,2,2,2,2,2,1,1,12,2,2,3,0.4558,2,2,2,2,1,1,2,2,2,1,1
1396,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,6,6,2,2,2,1,2,1,1,1,2,1,4,5,5,5,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,46,2,1,2,1,2,1,1,13,2,2,6,1.0508,1,2,1,2,1,1,2,2,1,3,3
1397,27/08/2020,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6,6,4,4,4,2,2,4,4,4,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,46,2,2,2,2,2,2,1,3,1,1,3,0.9317,2,2,2,2,2,1,2,2,2,1,1
1398,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,4,4,4,4,4,4,4,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,35,2,2,2,2,2,2,1,17,1,2,6,2.2754,2,2,2,2,2,1,2,2,2,3,3
1399,27/08/2020,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,6,1,5,5,5,5,5,1,5,5,2,2,3,4,4,4,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,48,2,2,2,1,2,1,2,14,2,2,6,0.5496,2,2,1,2,1,2,2,3,2,1,2
1400,27/08/2020,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,6,6,4,4,4,4,4,4,4,4,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,24,2,2,2,2,2,1,1,11,1,2,1,2.8996,2,2,2,2,1,1,1,2,2,1,1
1401,27/08/2020,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,6,6,4,4,4,3,4,4,4,4,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,9,9,13,2,2,2,1,2,2,2,9,1,2,1,0.8349,2,2,1,2,2,2,2,3,2,1,1
1402,27/08/2020,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,6,6,4,4,3,4,4,3,4,3,2,2,4,4,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,24,2,1,2,2,1,1,2,4,1,1,1,3.0869,1,2,2,1,1,2,2,2,2,1,1
1403,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,6,2,4,3,3,3,4,4,4,4,2,1,4,4,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,1,5,48,2,1,2,1,1,2,1,14,2,1,6,0.5496,1,2,1,1,2,1,9,2,2,3,3
1404,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,4,4,1,4,1,2,1,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,1,5,12,2,1,2,2,2,2,1,17,2,1,6,1.0455,1,2,2,2,2,1,2,2,2,3,3
1405,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,6,2,4,4,4,3,4,3,3,3,2,1,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,35,2,2,9,2,1,2,9,2,1,1,6,2.5869,2,9,2,1,2,9,2,2,2,2,2
1406,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,6,2,4,4,4,2,3,2,4,2,2,9,4,4,4,4,1,2,2,2,2,2,1,1,2,1,2,2,9,2,3,35,2,9,9,1,9,1,1,6,1,1,6,0.9549,2,2,1,2,1,1,2,2,2,3,3
1407,27/08/2020,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,3,6,1,1,4,4,2,4,4,3,4,2,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,35,2,2,2,2,1,1,1,14,1,1,6,1.3921,2,2,2,1,1,1,2,3,2,1,1
1408,27/08/2020,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,4,6,6,4,4,4,3,4,3,1,3,2,1,5,5,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,1,35,1,2,2,1,2,1,1,8,2,1,2,0.3588,2,2,1,2,1,1,2,1,2,1,1
